City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Bambous Virieux,MU,2020-12-26 13:59:01,-20.34,57.76,82.4,74,75,16.11
70,Doha,QA,2020-12-26 13:59:01,25.29,51.53,68.0,49,0,18.34
71,Zlobin,HR,2020-12-26 13:59:01,45.29,14.65,30.0,90,55,27.78
72,Bonnyville,CA,2020-12-26 13:59:02,54.27,-110.73,24.8,79,90,4.7
73,Albany,US,2020-12-26 13:57:20,42.6,-73.97,26.01,63,72,5.01
74,Mitsamiouli,KM,2020-12-26 13:59:02,-11.38,43.28,83.98,74,10,10.36
75,Nioro,GM,2020-12-26 13:59:02,13.35,-15.75,98.06,11,11,12.08
76,Berlevag,NO,2020-12-26 13:59:03,70.86,29.09,19.2,90,26,23.38
77,Arraial Do Cabo,BR,2020-12-26 13:59:03,-22.97,-42.03,80.6,74,40,9.17
78,Khatanga,RU,2020-12-26 13:59:04,71.97,102.5,-29.02,84,79,8.28
79,Hasaki,JP,2020-12-26 13:59:04,35.73,140.83,33.8,69,20,4.7
80,Upernavik,GL,2020-12-26 13:59:05,72.79,-56.15,-10.73,88,10,11.18
81,Port Augusta,AU,2020-12-26 13:59:05,-32.5,137.77,80.01,50,94,5.82
82,Dikson,RU,2020-12-26 13:59:05,73.51,80.55,-12.33,86,48,8.19
83,Homer,US,2020-12-26 13:59:06,59.64,-151.55,34.0,86,1,0.92
84,Sarangani,PH,2020-12-26 13:59:06,5.4,125.46,81.77,76,100,8.19
85,Chuy,UY,2020-12-26 13:59:06,-33.7,-53.46,76.73,59,97,14.36
86,Airai,TL,2020-12-26 13:59:07,-8.93,125.41,62.38,100,100,0.27
87,Hovd,MN,2020-12-26 13:59:07,48.01,91.64,3.96,88,0,2.17
88,Kapaa,US,2020-12-26 13:59:07,22.08,-159.32,73.4,83,75,24.16
89,Hobart,AU,2020-12-26 13:54:41,-42.88,147.33,60.8,77,90,8.05
90,Mattru,SL,2020-12-26 13:59:08,7.62,-11.83,92.41,44,69,2.3
91,Flagstaff,US,2020-12-26 13:57:03,35.2,-111.65,26.01,61,1,5.82
92,Bredasdorp,ZA,2020-12-26 13:59:08,-34.53,20.04,78.8,50,0,12.75
93,Mishelevka,RU,2020-12-26 13:59:09,52.86,103.17,-11.74,88,100,2.59
94,Karaton,ID,2020-12-26 13:59:09,-6.34,106.1,86.0,74,20,8.05
